"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/1985","322.30","322.30","322.30","322.30","","-0.22%"
"12/05/1985","323.00","323.00","323.00","323.00","","-0.37%"
"12/04/1985","324.20","324.20","324.20","324.20","","0.43%"
"12/03/1985","322.80","322.80","322.80","322.80","","0.34%"
"12/02/1985","321.70","321.70","321.70","321.70","","-2.04%"
"11/29/1985","328.40","328.40","328.40","328.40","","0.00%"
"11/27/1985","328.40","328.40","328.40","328.40","","-0.94%"
"11/26/1985","331.50","331.50","331.50","331.50","","0.33%"
"11/25/1985","330.40","330.40","330.40","330.40","","1.13%"
"11/22/1985","326.70","326.70","326.70","326.70","","0.28%"
"11/21/1985","325.80","325.80","325.80","325.80","","-0.03%"
"11/20/1985","325.90","325.90","325.90","325.90","","0.40%"
"11/19/1985","324.60","324.60","324.60","324.60","","0.28%"
"11/18/1985","323.70","323.70","323.70","323.70","","-0.58%"
"11/15/1985","325.60","325.60","325.60","325.60","","0.03%"
"11/14/1985","325.50","325.50","325.50","325.50","","0.31%"
"11/13/1985","324.50","324.50","324.50","324.50","","0.37%"
"11/12/1985","323.30","323.30","323.30","323.30","","0.00%"
"11/11/1985","323.30","323.30","323.30","323.30","","0.34%"
"11/08/1985","322.20","322.20","322.20","322.20","","-0.31%"
"11/07/1985","323.20","323.20","323.20","323.20","","-0.43%"
"11/06/1985","324.60","324.60","324.60","324.60","","-0.06%"
"11/05/1985","324.80","324.80","324.80","324.80","","-0.25%"
"11/04/1985","325.60","325.60","325.60","325.60","","0.59%"
"11/01/1985","323.70","323.70","323.70","323.70","","-0.49%"
"10/31/1985","325.30","325.30","325.30","325.30","","-0.34%"
"10/30/1985","326.40","326.40","326.40","326.40","","-0.03%"
"10/29/1985","326.50","326.50","326.50","326.50","","0.00%"
"10/28/1985","326.50","326.50","326.50","326.50","","0.28%"
"10/25/1985","325.60","325.60","325.60","325.60","","-0.25%"
"10/24/1985","326.40","326.40","326.40","326.40","","0.15%"
"10/23/1985","325.90","325.90","325.90","325.90","","-0.64%"
"10/22/1985","328.00","328.00","328.00","328.00","","0.49%"
"10/21/1985","326.40","326.40","326.40","326.40","","-0.03%"
"10/18/1985","326.50","326.50","326.50","326.50","","0.25%"
"10/17/1985","325.70","325.70","325.70","325.70","","0.56%"
"10/16/1985","323.90","323.90","323.90","323.90","","-1.01%"
"10/15/1985","327.20","327.20","327.20","327.20","","0.43%"
"10/14/1985","325.80","325.80","325.80","325.80","","0.00%"
"10/11/1985","325.80","325.80","325.80","325.80","","0.03%"
"10/10/1985","325.70","325.70","325.70","325.70","","-0.34%"
"10/09/1985","326.80","326.80","326.80","326.80","","0.06%"
"10/08/1985","326.60","326.60","326.60","326.60","","0.18%"
"10/07/1985","326.00","326.00","326.00","326.00","","-0.61%"
"10/04/1985","328.00","328.00","328.00","328.00","","0.89%"
"10/03/1985","325.10","325.10","325.10","325.10","","-0.03%"
"10/02/1985","325.20","325.20","325.20","325.20","","0.84%"
"10/01/1985","322.50","322.50","322.50","322.50","","-1.07%"
