"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/1996","386.90","386.60","386.90","386.90","","0.04%"
"08/30/1996","386.75","387.75","386.75","386.75","","-0.27%"
"08/29/1996","387.80","388.20","387.80","387.80","","-0.09%"
"08/28/1996","388.15","389.00","388.15","388.15","","-0.21%"
"08/27/1996","388.95","389.45","388.95","388.95","","-0.13%"
"08/26/1996","389.45","388.55","389.45","389.45","","0.26%"
"08/23/1996","388.45","387.65","388.45","388.45","","0.25%"
"08/22/1996","387.50","386.80","387.50","387.50","","0.17%"
"08/21/1996","386.85","387.70","386.85","386.85","","-0.22%"
"08/20/1996","387.70","387.25","387.70","387.70","","0.13%"
"08/19/1996","387.20","386.35","387.20","387.20","","0.19%"
"08/16/1996","386.45","386.65","386.45","386.45","","-0.04%"
"08/15/1996","386.60","386.55","386.60","386.60","","-0.01%"
"08/14/1996","386.65","387.85","386.65","386.65","","-0.31%"
"08/13/1996","387.85","387.60","387.85","387.85","","0.05%"
"08/12/1996","387.65","387.85","387.65","387.65","","0.00%"
"08/09/1996","387.65","388.45","387.65","387.65","","-0.23%"
"08/08/1996","388.55","388.15","388.55","388.55","","0.10%"
"08/07/1996","388.15","388.60","388.15","388.15","","-0.10%"
"08/06/1996","388.55","389.10","388.55","388.55","","-0.12%"
"08/05/1996","389.00","387.10","389.00","389.00","","0.43%"
"08/02/1996","387.35","386.35","387.35","387.35","","0.27%"
"08/01/1996","386.30","386.45","386.30","386.30","","-0.19%"
"07/31/1996","387.05","384.55","387.05","387.05","","0.64%"
"07/30/1996","384.60","384.50","384.60","384.60","","0.00%"
"07/29/1996","384.60","385.40","384.60","384.60","","-0.17%"
"07/26/1996","385.25","385.20","385.25","385.25","","0.01%"
"07/25/1996","385.20","385.20","385.20","385.20","","-0.06%"
"07/24/1996","385.45","384.65","385.45","385.45","","0.22%"
"07/23/1996","384.60","384.80","384.60","384.60","","-0.06%"
"07/22/1996","384.85","384.60","384.85","384.85","","0.09%"
"07/19/1996","384.50","383.85","384.50","384.50","","0.17%"
"07/18/1996","383.85","383.55","383.85","383.85","","0.08%"
"07/17/1996","383.55","383.50","383.55","383.55","","0.01%"
"07/16/1996","383.50","383.45","383.50","383.50","","-0.27%"
"07/15/1996","384.55","383.50","384.55","384.55","","0.29%"
"07/12/1996","383.45","383.50","383.45","383.45","","-0.09%"
"07/11/1996","383.80","382.60","383.80","383.80","","0.31%"
"07/10/1996","382.60","382.75","382.60","382.60","","0.00%"
"07/09/1996","382.60","381.20","382.60","382.60","","0.34%"
"07/08/1996","381.30","382.00","381.30","381.30","","-0.12%"
"07/05/1996","381.75","381.00","381.75","381.75","","0.16%"
"07/04/1996","381.15","381.80","381.15","381.15","","-0.14%"
"07/03/1996","381.70","382.05","381.70","381.70","","-0.14%"
"07/02/1996","382.25","381.65","382.25","382.25","","0.21%"
"07/01/1996","381.45","380.25","381.45","381.45","","0.26%"
"06/28/1996","380.45","382.25","380.45","380.45","","-0.44%"
"06/27/1996","382.15","383.30","382.15","382.15","","-0.29%"
"06/26/1996","383.25","384.25","383.25","383.25","","-0.23%"
"06/25/1996","384.15","385.10","384.15","384.15","","-0.23%"
"06/24/1996","385.05","384.90","385.05","385.05","","0.00%"
"06/21/1996","385.05","384.45","385.05","385.05","","0.14%"
"06/20/1996","384.50","384.60","384.50","384.50","","0.00%"
"06/19/1996","384.50","385.75","384.50","384.50","","-0.29%"
"06/18/1996","385.60","385.10","385.60","385.60","","0.17%"
"06/17/1996","384.95","384.75","384.95","384.95","","0.01%"
"06/14/1996","384.90","384.35","384.90","384.90","","0.08%"
"06/13/1996","384.60","384.55","384.60","384.60","","0.00%"
"06/12/1996","384.60","384.65","384.60","384.60","","0.01%"
"06/11/1996","384.55","386.15","384.55","384.55","","-0.39%"
"06/10/1996","386.05","386.60","386.05","386.05","","0.19%"
"06/07/1996","385.30","386.40","385.30","385.30","","-0.22%"
"06/06/1996","386.15","386.40","386.15","386.15","","-0.08%"
"06/05/1996","386.45","388.25","386.45","386.45","","-0.46%"
"06/04/1996","388.25","390.45","388.25","388.25","","-0.59%"
"06/03/1996","390.55","391.25","390.55","390.55","","-0.12%"
"05/31/1996","391.00","391.10","391.00","391.00","","-0.01%"
"05/30/1996","391.05","391.25","391.05","391.05","","-0.05%"
"05/29/1996","391.25","391.95","391.25","391.25","","-0.06%"
"05/28/1996","391.50","391.20","391.50","391.50","","0.09%"
"05/27/1996","391.15","390.85","391.15","391.15","","0.06%"
"05/24/1996","390.90","391.65","390.90","390.90","","-0.17%"
"05/23/1996","391.55","391.75","391.55","391.55","","-0.05%"
"05/22/1996","391.75","391.35","391.75","391.75","","0.08%"
"05/21/1996","391.45","390.95","391.45","391.45","","0.15%"
"05/20/1996","390.85","392.05","390.85","390.85","","-0.43%"
"05/17/1996","392.55","392.60","392.55","392.55","","-0.04%"
"05/16/1996","392.70","392.50","392.70","392.70","","0.00%"
"05/15/1996","392.70","392.00","392.70","392.70","","0.22%"
"05/14/1996","391.85","391.30","391.85","391.85","","0.10%"
"05/13/1996","391.45","390.25","391.45","391.45","","0.20%"
"05/10/1996","390.65","393.05","390.65","390.65","","-0.56%"
"05/09/1996","392.85","393.15","392.85","392.85","","-0.05%"
"05/08/1996","393.05","394.15","393.05","393.05","","-0.25%"
"05/07/1996","394.05","393.95","394.05","394.05","","0.00%"
"05/06/1996","394.05","392.65","394.05","394.05","","0.41%"
"05/03/1996","392.45","394.10","392.45","392.45","","-0.41%"
"05/02/1996","394.05","392.95","394.05","394.05","","0.25%"
"05/01/1996","393.05","391.70","393.05","393.05","","0.36%"
"04/30/1996","391.65","390.55","391.65","391.65","","0.28%"
"04/29/1996","390.55","390.45","390.55","390.55","","0.04%"
"04/26/1996","390.40","393.45","390.40","390.40","","-0.75%"
"04/25/1996","393.35","390.75","393.35","393.35","","0.67%"
"04/24/1996","390.75","391.55","390.75","390.75","","-0.14%"
"04/23/1996","391.30","391.65","391.30","391.30","","-0.09%"
"04/22/1996","391.65","390.25","391.65","391.65","","0.27%"
"04/19/1996","390.60","390.45","390.60","390.60","","0.04%"
"04/18/1996","390.45","391.25","390.45","390.45","","-0.18%"
"04/17/1996","391.15","391.35","391.15","391.15","","-0.08%"
"04/16/1996","391.45","393.35","391.45","391.45","","-0.48%"
"04/15/1996","393.35","394.55","393.35","393.35","","-0.30%"
"04/12/1996","394.55","395.55","394.55","394.55","","-0.23%"
"04/11/1996","395.45","395.35","395.45","395.45","","0.05%"
"04/10/1996","395.25","394.75","395.25","395.25","","0.19%"
"04/09/1996","394.50","397.70","394.50","394.50","","-0.84%"
"04/08/1996","397.85","394.90","397.85","397.85","","0.79%"
"04/05/1996","394.75","394.90","394.75","394.75","","0.00%"
"04/04/1996","394.75","394.25","394.75","394.75","","0.15%"
"04/03/1996","394.15","393.95","394.15","394.15","","0.05%"
"04/02/1996","393.95","394.90","393.95","393.95","","-0.25%"
"04/01/1996","394.95","395.30","394.95","394.95","","-0.13%"
"03/29/1996","395.45","396.75","395.45","395.45","","-0.26%"
"03/28/1996","396.50","400.25","396.50","396.50","","-0.91%"
"03/27/1996","400.15","400.30","400.15","400.15","","-0.01%"
"03/26/1996","400.20","398.05","400.20","400.20","","0.34%"
"03/25/1996","398.85","398.15","398.85","398.85","","0.13%"
"03/22/1996","398.35","397.95","398.35","398.35","","0.09%"
"03/21/1996","398.00","395.95","398.00","398.00","","0.52%"
"03/20/1996","395.95","395.30","395.95","395.95","","0.15%"
"03/19/1996","395.35","395.55","395.35","395.35","","-0.06%"
"03/18/1996","395.60","396.25","395.60","395.60","","-0.15%"
"03/15/1996","396.20","395.70","396.20","396.20","","0.13%"
"03/14/1996","395.70","396.80","395.70","395.70","","-0.31%"
"03/13/1996","396.95","396.60","396.95","396.95","","0.10%"
"03/12/1996","396.55","395.70","396.55","396.55","","0.25%"
"03/11/1996","395.55","397.45","395.55","395.55","","-0.39%"
"03/08/1996","397.10","395.55","397.10","397.10","","0.42%"
"03/07/1996","395.45","393.40","395.45","395.45","","0.56%"
"03/06/1996","393.25","393.85","393.25","393.25","","-0.09%"
"03/05/1996","393.60","394.10","393.60","393.60","","-0.09%"
"03/04/1996","393.95","398.90","393.95","393.95","","-1.20%"
"03/01/1996","398.75","399.45","398.75","398.75","","-0.25%"
"02/29/1996","399.75","400.15","399.75","399.75","","-0.15%"
"02/28/1996","400.35","398.25","400.35","400.35","","0.53%"
"02/27/1996","398.25","399.25","398.25","398.25","","-0.20%"
"02/26/1996","399.05","398.05","399.05","399.05","","0.20%"
"02/23/1996","398.25","399.55","398.25","398.25","","-0.38%"
"02/22/1996","399.75","402.30","399.75","399.75","","-0.62%"
"02/21/1996","402.25","399.25","402.25","402.25","","0.75%"
"02/20/1996","399.25","405.85","399.25","399.25","","-1.58%"
"02/19/1996","405.65","405.65","405.65","405.65","","0.05%"
"02/16/1996","405.45","403.45","405.45","405.45","","0.52%"
"02/15/1996","403.35","404.60","403.35","403.35","","-0.22%"
"02/14/1996","404.25","404.05","404.25","404.25","","0.09%"
"02/13/1996","403.90","401.35","403.90","403.90","","0.70%"
"02/12/1996","401.10","405.30","401.10","401.10","","-1.07%"
"02/09/1996","405.45","409.65","405.45","405.45","","-0.99%"
"02/08/1996","409.50","408.95","409.50","409.50","","0.21%"
"02/07/1996","408.65","412.35","408.65","408.65","","-0.91%"
"02/06/1996","412.40","413.65","412.40","412.40","","-0.31%"
"02/05/1996","413.70","415.60","413.70","413.70","","-0.40%"
"02/02/1996","415.35","413.55","415.35","415.35","","0.57%"
"02/01/1996","413.00","406.40","413.00","413.00","","1.61%"
"01/31/1996","406.45","404.40","406.45","406.45","","0.51%"
"01/30/1996","404.40","406.10","404.40","404.40","","-0.41%"
"01/29/1996","406.05","405.90","406.05","406.05","","0.05%"
"01/26/1996","405.85","406.65","405.85","405.85","","-0.22%"
"01/25/1996","406.75","402.75","406.75","406.75","","0.91%"
"01/24/1996","403.10","403.45","403.10","403.10","","-0.10%"
